일련번호,시장/마트 번호,시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,점검일자,시장유형 구분(시장/마트) 코드,시장유형 구분(시장/마트) 이름,자치구 코드,자치구 이름
829069,73,뚝도시장,18,닭고기,1마리,4500,15-Oct,1kg,2015-10-29,1,전통시장,200000,성동구
829078,75,이마트 성수점,25,무,2kg,1180,15-Oct,,2015-10-29,2,대형마트,200000,성동구
829079,75,이마트 성수점,24,양파,3kg,4980,15-Oct,행사,2015-10-29,2,대형마트,200000,성동구
829081,75,이마트 성수점,22,오이,1개,400,15-Oct,백오이5개2000원,2015-10-29,2,대형마트,200000,성동구
829085,75,이마트 성수점,18,닭고기,1마리,4060,15-Oct,하림1kg행사,2015-10-29,2,대형마트,200000,성동구
829118,122,그랜드마트 신촌점,17,달걀,10개,2480,15-Oct,"국내, (신선 특란)",2015-10-29,2,대형마트,440000,마포구
829160,120,망원시장,23,상추,1봉(200g),1000,15-Oct,이천(적상추)1봉지,2015-10-29,1,전통시장,440000,마포구
829176,215,청담삼익시장,23,상추,100g,990,15-Oct,신선쌈,2015-10-29,1,전통시장,680000,강남구
829181,215,청담삼익시장,18,닭고기,"1마리(1,050g)",6580,15-Oct,하림자연실록,2015-10-29,1,전통시장,680000,강남구
829192,45,롯데백화점 강남점,23,상추,180g,2580,15-Oct,뜨라네적상추,2015-10-29,2,대형마트,680000,강남구
829197,45,롯데백화점 강남점,18,닭고기,"1마리(1,050g)",5980,15-Oct,하림자연실록,2015-10-29,2,대형마트,680000,강남구
829198,45,롯데백화점 강남점,17,달걀,1마리20cm,3700,15-Oct,1등급란,2015-10-29,2,대형마트,680000,강남구
829206,216,도곡시장,25,무,1개,1380,15-Oct,국내산,2015-10-29,1,전통시장,680000,강남구
829207,216,도곡시장,24,양파,1망,3980,15-Oct,신토불이,2015-10-29,1,전통시장,680000,강남구
829223,44,이마트 역삼점,24,양파,1망(1.8kg),3250,15-Oct,국내산,2015-10-29,2,대형마트,680000,강남구
829229,44,이마트 역삼점,18,닭고기,1050g,6860,15-Oct,방목토종씨암탉백숙,2015-10-29,2,대형마트,680000,강남구
829262,135,롯데백화점 관악점,17,달걀,10개,3280,15-Oct,오성신선란10구,2015-10-29,2,대형마트,620000,관악구
829277,134,신원시장(신림1동),18,닭고기,1마리(1kg),7000,15-Oct,하림,2015-10-29,1,전통시장,620000,관악구
829293,133,원당종합시장,17,달걀,10개,2500,15-Oct,영양란10구,2015-10-29,1,전통시장,620000,관악구
829431,86,홈플러스 동대문점,23,상추,1봉지,1480,15-Oct,국내산 청상추,2015-10-29,2,대형마트,230000,동대문구
829437,86,홈플러스 동대문점,17,달걀,10개,4130,15-Oct,풀무원  대 ,2015-10-29,2,대형마트,230000,동대문구
829446,85,경동시장,24,양파,1망(1.7kg),3500,15-Oct,무안,2015-10-29,1,전통시장,230000,동대문구
829453,85,경동시장,17,달걀,10개,1500,15-Oct,국내산 ,2015-10-29,1,전통시장,230000,동대문구
829460,84,청량리종합시장,25,무,1개,1000,15-Oct,국내산,2015-10-29,1,전통시장,230000,동대문구
829461,84,청량리종합시장,24,양파,1kg,3200,15-Oct,국내산,2015-10-29,1,전통시장,230000,동대문구
829462,84,청량리종합시장,23,상추,100g,500,15-Oct,1근2000원,2015-10-29,1,전통시장,230000,동대문구
829468,84,청량리종합시장,17,달걀,10개,1500,15-Oct,국내산,2015-10-29,1,전통시장,230000,동대문구
829477,88,롯데백화점 청량리점,24,양파,한망(5개입),4200,15-Oct,국내산 ,2015-10-29,2,대형마트,230000,동대문구
829478,88,롯데백화점 청량리점,23,상추,1봉지,2000,15-Oct,국산 적상추,2015-10-29,2,대형마트,230000,동대문구
829484,88,롯데백화점 청량리점,17,달걀,10개,4500,15-Oct,목초란 대 ,2015-10-29,2,대형마트,230000,동대문구
829556,51,2001아울렛 불광점,25,무,1개,1790,15-Oct,햇무,2015-10-29,2,대형마트,380000,은평구
829558,51,2001아울렛 불광점,23,상추,100g,1390,15-Oct,여주,2015-10-29,2,대형마트,380000,은평구
829563,51,2001아울렛 불광점,18,닭고기,1마리(1000g),5990,15-Oct,올품,2015-10-29,2,대형마트,380000,은평구
829574,53,이마트 은평점,23,상추,(100g),840,15-Oct,논산양촌,2015-10-29,2,대형마트,380000,은평구
829579,53,이마트 은평점,18,닭고기,1마리(1150g),7800,15-Oct,올품,2015-10-29,2,대형마트,380000,은평구
829589,49,대림시장,24,양파,1망(1.5kg),3000,15-Oct,국산,2015-10-29,1,전통시장,380000,은평구
829605,219,대조시장,24,양파,1망(1.5kg),4000,15-Oct,햇양파,2015-10-29,1,전통시장,380000,은평구
829684,146,방이시장,25,무,1개(1kg),2500,15-Oct, ,2015-10-29,1,전통시장,710000,송파구
829700,145,마천중앙시장,25,무,1개(1kg),2500,15-Oct, ,2015-10-29,1,전통시장,710000,송파구
830865,105,행복한세상 목동점(하나로마트),22,오이,1개,330,15-Oct,"안성(5개1900원)백오이,(취청오이2개980)",2015-10-28,2,대형마트,470000,양천구
830869,105,행복한세상 목동점(하나로마트),18,닭고기,1마리,3800,15-Oct,토종9호,2015-10-28,2,대형마트,470000,양천구
830870,105,행복한세상 목동점(하나로마트),17,달걀,10개,3140,15-Oct,농협안심1듬급륵란,2015-10-28,2,대형마트,470000,양천구
830902,103,신영시장,17,달걀,10개,2700,15-Oct,참생생란,2015-10-28,1,전통시장,470000,양천구
830912,102,목3동시장,22,오이,1개,600,15-Oct,,2015-10-28,1,전통시장,470000,양천구
830917,102,목3동시장,17,달걀,10개,2500,15-Oct,"신선란,특란",2015-10-28,1,전통시장,470000,양천구
813731,108,남구로시장,22,오이,1개,400,15-Sep,국내산,2015-09-21,1,전통시장,530000,구로구
814716,42,이마트 가양점,23,상추,100g,890,15-Sep,예냉적상추(한 봉지 1780원),2015-09-24,2,대형마트,500000,강서구
814717,42,이마트 가양점,22,오이,1개,590,15-Sep,강원도5개2950원,2015-09-24,2,대형마트,500000,강서구
814746,27,이마트 창동점,25,무,1개(2.6kg),800,15-Sep,제주도,2015-09-24,2,대형마트,320000,도봉구
814747,27,이마트 창동점,24,양파,1망(1.5kg),2370,15-Sep,무안,2015-09-24,2,대형마트,320000,도봉구
814797,78,자양골목시장,22,오이,1개,500,15-Sep,백오이,2015-09-23,1,전통시장,215000,광진구
814828,112,애경백화점,23,상추,1봉지,1690,15-Sep,국내산적상추,2015-09-23,2,대형마트,530000,구로구
814843,110,이마트 신도림점,24,양파,1망,4380,15-Sep,1.8kg,2015-09-23,2,대형마트,530000,구로구
814844,110,이마트 신도림점,23,상추,1봉지,1780,15-Sep,국내산(적상추)후레쉬,2015-09-23,2,대형마트,530000,구로구
814845,110,이마트 신도림점,22,오이,1개,780,15-Sep,5개 5개3880원강원도백오이,2015-09-23,2,대형마트,530000,구로구
814858,145,마천중앙시장,25,무,1개(1kg),2500,15-Sep, ,2015-09-24,1,전통시장,710000,송파구
814875,20,영등포전통시장,24,양파,1망,3500,15-Sep,,2015-09-24,1,전통시장,560000,영등포구
814876,20,영등포전통시장,23,상추,1무더기,800,15-Sep,150g,2015-09-24,1,전통시장,560000,영등포구
814891,21,홈플러스 영등포점,24,양파,1000g,3000,15-Sep, 좋은상품,2015-09-24,2,대형마트,560000,영등포구
814892,21,홈플러스 영등포점,23,상추,1봉,1800,15-Sep,,2015-09-24,2,대형마트,560000,영등포구
