시도명,구시군명,읍면동명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,계
,,,,,"새누리당
박근혜","민주통합당
문재인","무소속
박종선","무소속
김소연","무소속
강지원","무소속
김순자",,,
서울특별시,송파구,가락1동,"7,483","5,252","2,600","2,609",5,2,12,4,20,"2,231","7,483"
서울특별시,송파구,가락2동,"27,014","21,600","11,132","10,295",6,6,53,13,95,"5,414","27,014"
서울특별시,송파구,문정1동,"17,859","13,851","7,357","6,395",6,5,27,11,50,"4,008","17,859"
서울특별시,송파구,문정2동,"12,861","10,491","7,099","3,297",3,4,28,10,50,"2,370","12,861"
서울특별시,송파구,장지동,"28,335","21,913","10,014","11,717",13,6,50,16,97,"6,422","28,335"
서울특별시,송파구,잠실본동,"25,017","17,791","8,165","9,527",9,2,29,13,46,"7,226","25,017"
서울특별시,송파구,잠실2동,"25,896","20,700","11,678","8,907",2,5,53,9,46,"5,196","25,896"
서울특별시,송파구,잠실3동,"28,621","23,243","14,676","8,412",10,7,53,16,69,"5,378","28,621"
서울특별시,송파구,잠실4동,"23,876","19,600","11,434","8,028",4,6,46,10,72,"4,276","23,876"
서울특별시,송파구,잠실6동,"13,484","10,736","6,637","4,009",2,5,28,4,51,"2,748","13,484"
서울특별시,송파구,잠실7동,"8,352","6,835","4,809","1,976",3,5,16,5,21,"1,517","8,352"
서울특별시,강동구,강일동,"24,607","19,449","8,898","10,423",14,6,28,8,72,"5,158","24,607"
서울특별시,강동구,상일동,"21,575","16,836","8,900","7,819",5,8,34,17,53,"4,739","21,575"
서울특별시,강동구,명일제1동,"21,667","17,145","9,162","7,850",7,6,40,11,69,"4,522","21,667"
서울특별시,강동구,명일제2동,"14,464","11,842","6,994","4,762",8,7,26,9,36,"2,622","14,464"
서울특별시,강동구,고덕제1동,"12,942","10,011","5,134","4,797",2,1,25,4,48,"2,931","12,942"
서울특별시,강동구,고덕제2동,"14,470","10,664","5,484","5,074",4,5,32,13,52,"3,806","14,470"
서울특별시,강동구,암사제1동,"31,218","22,490","10,958","11,354",16,11,29,18,104,"8,728","31,218"
서울특별시,강동구,암사제2동,"12,596","9,849","4,678","5,099",5,3,17,6,41,"2,747","12,596"
서울특별시,강동구,암사제3동,"14,206","11,588","6,204","5,313",2,6,16,9,38,"2,618","14,206"
서울특별시,강동구,천호제1동,"25,562","18,340","9,134","9,038",16,14,23,17,98,"7,222","25,562"
서울특별시,강동구,천호제2동,"31,296","21,858","10,627","11,048",16,8,39,14,106,"9,438","31,296"
서울특별시,강동구,천호제3동,"22,591","15,731","7,750","7,848",13,7,35,10,68,"6,860","22,591"
서울특별시,강동구,성내제1동,"15,508","12,073","5,907","6,063",4,7,28,8,56,"3,435","15,508"
서울특별시,강동구,성내제2동,"22,333","15,877","7,558","8,195",13,10,30,8,63,"6,456","22,333"
서울특별시,강동구,성내제3동,"20,534","15,239","7,209","7,901",8,13,30,11,67,"5,295","20,534"
서울특별시,강동구,길동,"41,205","30,732","15,151","15,374",6,9,54,22,116,"10,473","41,205"
서울특별시,강동구,둔촌제1동,"15,177","12,323","6,794","5,445",3,5,28,8,40,"2,854","15,177"
서울특별시,강동구,둔촌제2동,"23,055","17,676","9,087","8,468",8,4,31,8,70,"5,379","23,055"
부산광역시,중구,중앙동,"1,751","1,184",769,411,0,0,1,0,3,567,"1,751"
부산광역시,중구,동광동,"3,312","2,158","1,406",736,0,0,5,3,8,"1,154","3,312"
부산광역시,중구,대청동,"6,327","4,563","2,852","1,690",2,2,5,5,7,"1,764","6,327"
부산광역시,중구,보수동,"9,886","7,085","4,543","2,513",1,3,4,8,13,"2,801","9,886"
부산광역시,중구,부평동,"4,780","3,323","2,296","1,019",1,0,2,1,4,"1,457","4,780"
부산광역시,중구,광복동,"1,327",881,616,260,0,1,0,0,4,446,"1,327"
부산광역시,중구,남포동,"1,266",825,596,225,0,0,3,1,0,441,"1,266"
부산광역시,중구,영주제1동,"4,428","3,111","1,911","1,182",0,2,5,1,10,"1,317","4,428"
부산광역시,중구,영주제2동,"7,911","5,821","3,726","2,058",0,2,9,4,22,"2,090","7,911"
부산광역시,서구,동대신제1동,"4,823","3,608","2,348","1,237",2,1,1,6,13,"1,215","4,823"
부산광역시,서구,동대신제2동,"7,983","6,009","3,924","2,036",2,5,13,9,20,"1,974","7,983"
부산광역시,서구,동대신제3동,"6,876","5,087","3,132","1,926",1,5,6,6,11,"1,789","6,876"
부산광역시,서구,서대신제1동,"11,213","8,412","5,343","3,023",1,4,12,8,21,"2,801","11,213"
부산광역시,서구,서대신제3동,"5,597","4,282","2,752","1,505",1,0,6,6,12,"1,315","5,597"
부산광역시,서구,서대신제4동,"5,820","4,552","2,864","1,656",0,3,13,7,9,"1,268","5,820"
부산광역시,서구,부민동,"6,504","4,837","2,921","1,888",1,1,5,3,18,"1,667","6,504"
부산광역시,서구,아미동,"8,875","6,004","3,967","1,984",1,2,7,25,18,"2,871","8,875"
부산광역시,서구,초장동,"5,518","3,685","2,516","1,145",1,1,3,9,10,"1,833","5,518"
부산광역시,서구,충무동,"7,013","4,886","3,332","1,522",1,0,10,6,15,"2,127","7,013"
부산광역시,서구,남부민제1동,"5,516","3,785","2,511","1,258",1,1,2,6,6,"1,731","5,516"
부산광역시,서구,남부민제2동,"9,593","6,654","4,404","2,205",3,2,4,17,19,"2,939","9,593"
부산광역시,서구,암남동,"15,371","10,680","6,818","3,787",2,4,12,19,38,"4,691","15,371"
부산광역시,동구,초량제1동,"4,645","3,365","2,178","1,166",3,1,5,5,7,"1,280","4,645"
부산광역시,동구,초량제2동,"6,063","4,291","2,869","1,391",1,4,10,3,13,"1,772","6,063"
부산광역시,동구,초량제3동,"5,607","4,096","2,500","1,573",0,1,6,7,9,"1,511","5,607"
부산광역시,동구,초량제6동,"6,973","5,154","3,358","1,757",0,1,7,14,17,"1,819","6,973"
부산광역시,동구,수정제1동,"4,706","3,552","2,219","1,315",0,1,8,4,5,"1,154","4,706"
부산광역시,동구,수정제2동,"8,800","6,432","4,193","2,202",1,2,9,11,14,"2,368","8,800"
부산광역시,동구,수정제4동,"4,710","3,414","2,289","1,109",0,4,3,5,4,"1,296","4,710"
부산광역시,동구,수정제5동,"5,963","4,453","2,942","1,486",0,3,3,5,14,"1,510","5,963"
부산광역시,동구,좌천제1동,"7,020","5,280","3,359","1,902",1,0,3,4,11,"1,740","7,020"
부산광역시,동구,좌천제4동,"3,778","2,834","1,786","1,031",1,0,5,6,5,944,"3,778"
부산광역시,동구,범일제1동,"4,190","3,183","1,966","1,205",1,2,1,2,6,"1,007","4,190"
부산광역시,동구,범일제2동,"7,424","5,552","3,468","2,059",2,0,4,4,15,"1,872","7,424"
부산광역시,동구,범일제4동,"8,615","6,223","4,101","2,077",1,4,10,11,19,"2,392","8,615"
부산광역시,동구,범일제5동,"4,414","3,197","2,066","1,113",1,2,0,4,11,"1,217","4,414"
부산광역시,영도구,남항동,"9,890","7,058","4,496","2,524",2,1,8,5,22,"2,832","9,890"
부산광역시,영도구,영선제1동,"3,929","2,908","1,674","1,222",0,0,4,1,7,"1,021","3,929"
부산광역시,영도구,영선제2동,"9,102","6,696","3,971","2,694",1,4,5,7,14,"2,406","9,102"
부산광역시,영도구,신선동,"11,803","8,044","4,955","3,042",2,1,7,9,28,"3,759","11,803"
